,name,temp,wind_speed,humidity,cloud%,lon,lat
108,Bonavista,23.0,10.42,100,0,-53.11,48.65
109,Avarua,80.6,9.17,78,75,-159.78,-21.21
110,Terre Haute,35.38,4.61,81,90,-87.41,39.47
111,Poum,12.47,1.92,76,0,20.71,41.28
112,Saint-Augustin,51.98,9.17,87,90,-0.61,44.83
113,Palkonda,59.72,2.82,100,0,83.76,18.6
114,Conceicao do Araguaia,89.19,4.38,81,20,-49.26,-8.26
115,Jaguariaiva,78.3,7.4,100,44,-49.71,-24.25
116,Yaan,85.86,7.74,24,0,8.57,7.38
117,Cururupu,83.57,7.63,81,92,-44.87,-1.82
118,Campbeltown,39.29,20.8,93,40,-5.61,55.43
119,Paracuru,84.2,10.29,74,20,-39.03,-3.41
120,Nadym,8.64,6.17,87,88,72.51,65.53
121,Morgan City,57.87,5.82,63,90,-91.21,29.7
122,Bonthe,86.67,6.17,65,0,-12.5,7.53
123,Tautira,87.8,12.75,66,20,-149.15,-17.73
124,Vardo,38.34,11.41,56,90,-77.74,39.62
125,Bethel,7.25,12.75,83,1,-161.76,60.79
126,Seymchan,-54.14,1.92,0,0,152.39,62.93
127,Chupa,57.2,10.29,41,75,-69.99,-15.11
128,Klaksvik,32.0,28.86,100,48,-6.59,62.23
129,Linxia,1.85,2.37,51,0,103.21,35.6
130,Faanui,82.89,13.22,100,20,-151.75,-16.48
131,Hofn,30.2,13.87,58,0,-15.21,64.25
132,Muroto,35.55,7.74,100,0,134.14,33.37
133,Bandarbeyla,75.96,11.77,100,0,50.81,9.49
134,Georgetown,84.2,18.34,74,75,-58.16,6.8
135,Dingle,74.7,12.88,76,24,122.67,11.0
136,Camacha,59.74,13.87,63,40,-16.33,33.08
137,Longyearbyen,5.0,6.93,77,20,15.63,78.22
138,Leningradskiy,-4.64,23.06,95,20,178.42,69.38
139,Praia,87.57,4.7,40,20,-43.81,-20.25
140,Port Hedland,84.2,12.75,83,88,118.58,-20.31
141,Saldanha,39.78,3.38,99,64,-6.55,41.42
142,Hammerfest,26.1,16.11,79,0,23.68,70.66
143,Mithi,63.09,8.41,87,0,69.8,24.74
144,Vanavara,-0.99,4.38,77,48,102.28,60.35
145,Labuhan,73.4,0.81,96,92,115.51,-2.54
146,Esperance,86.0,13.87,58,20,-61.45,10.24
147,Victoria,77.79,5.84,94,75,115.24,5.28
148,Rio Grande,89.6,11.41,55,75,-52.1,-32.03
149,Gualaquiza,65.25,2.15,97,76,-78.58,-3.4
150,Grieskirchen,33.8,2.24,86,75,13.83,48.23
151,Sampit,75.06,3.04,95,88,112.95,-2.54
152,Sechura,81.77,9.75,70,0,-80.82,-5.56
153,Kavieng,84.24,8.75,100,20,150.8,-2.57
154,Madimba,82.4,1.12,88,20,9.93,4.42
155,Stolin,26.37,7.4,93,76,26.85,51.89
156,Gigmoto,78.03,10.98,98,88,124.39,13.78
157,Kavaratti,81.9,4.16,100,0,72.64,10.57
158,Sao Jose da Coroa Grande,81.99,11.77,87,80,-35.15,-8.9
159,Samarai,82.4,12.66,100,68,150.67,-10.62
160,Puerto Ayora,86.0,14.99,62,20,-90.35,-0.74
161,Storslett,17.6,2.24,85,75,21.03,69.77
162,Ratnagiri,77.45,9.64,100,0,73.3,16.98
163,Yaqui,73.4,6.93,53,40,-110.17,27.37
164,Chulym,7.11,6.51,78,68,80.97,55.09
165,Waddan,46.13,6.17,55,0,16.14,29.16
166,Seybaplaya,80.6,11.41,57,40,-90.67,19.65
167,Antofagasta,69.8,17.22,60,40,-70.4,-23.65
168,Vila Franca do Campo,59.0,3.36,72,20,-25.43,37.72
169,Tornio,18.77,4.7,92,90,27.27,61.12
170,Barra Patuca,81.72,9.75,80,0,-84.28,15.8
171,Hilo,71.06,5.82,58,90,-155.08,19.71
172,Darhan,-10.76,2.59,33,0,105.92,49.49
173,Panzhihua,32.9,2.48,72,0,101.72,26.59
174,Kaeo,63.81,12.66,84,44,173.78,-35.1
175,Jiutai,-2.21,2.24,70,0,125.84,44.15
176,Lazaro Cardenas,60.8,8.05,51,20,-105.62,28.39
177,Victor Harbor,77.0,1.12,61,0,138.62,-35.55
178,Solkan,39.15,4.7,86,75,13.65,45.97
179,Winsum,42.22,18.34,93,90,6.52,53.33
180,Turukhansk,6.17,9.53,80,68,87.96,65.8
181,Mehamn,28.81,4.7,68,40,27.85,71.03
182,Hualmay,77.72,8.52,66,20,-77.61,-11.1
183,Chokurdakh,-50.94,2.71,0,8,147.9,70.62
184,Uribia,88.74,18.81,46,0,-72.27,11.71
185,Gevrai,59.22,5.73,73,0,75.75,19.27
186,Callaway,4.77,4.27,75,40,-95.91,46.98
187,Loveland,41.97,2.71,30,1,-105.08,40.4
188,Hue,64.4,12.75,100,75,107.58,16.47
189,Byron Bay,69.33,3.36,83,20,153.62,-28.65
190,Castro,60.8,9.17,55,0,-73.76,-42.48
191,Sept-Iles,17.6,16.11,85,90,-66.38,50.2
192,Port Blair,81.95,14.56,100,8,92.75,11.67
193,Anadyr,-5.81,13.42,83,90,177.51,64.73
194,Guiratinga,90.27,5.39,66,32,-53.76,-16.35
195,Aykhal,-20.52,6.06,56,24,111.51,65.95
196,Guadalupe y Calvo,57.65,2.48,34,20,-106.96,26.09
197,Wattegama,67.14,4.38,94,20,80.68,7.35
198,General Roca,80.6,14.99,14,0,-67.58,-39.03
199,Talcahuano,71.6,20.8,43,0,-73.12,-36.72
200,Santa catarina de Tepehuanes,59.9,3.38,43,0,-105.72,25.34
201,Itacoatiara,89.6,6.93,59,20,-58.44,-3.14
202,Neuquen,80.6,14.99,14,0,-68.06,-38.95
203,Taseyevo,8.37,3.94,79,80,94.9,57.22
204,Dubbo,78.8,10.29,50,0,148.6,-32.25
205,Athabasca,-0.99,5.39,85,68,-113.29,54.72
206,Jalu,48.65,6.51,51,0,21.55,29.03
207,Pozo Colorado,96.17,16.35,56,0,-58.8,-23.49
208,Cidreira,86.4,17.36,78,36,-50.22,-30.17
209,Ilesha,84.06,3.6,57,20,5.26,7.14
210,Luau,76.14,2.26,65,80,22.23,-10.7
211,Cusco,66.2,1.92,37,40,-71.98,-13.52
212,Olonets,23.13,6.73,83,88,32.97,60.98
213,Yumen,-2.66,2.93,61,36,97.04,40.29
214,Olinda,86.0,9.17,70,75,-79.75,-2.03
215,Olenino,22.28,11.65,88,80,33.48,56.21
216,Bahia Blanca,78.98,14.12,53,8,-62.27,-38.72
217,Zimovniki,23.0,7.63,89,32,42.46,47.15
218,Trairi,80.33,11.43,100,20,-39.27,-3.28
219,Ostrovnoy,19.35,8.97,91,80,39.51,68.05
220,Bayan,-16.56,2.93,40,8,107.54,47.25
221,Tres Arroyos,77.63,17.02,54,48,-60.28,-38.38
222,Beringovskiy,-3.56,2.93,100,44,179.32,63.05
223,Santa Rosa,83.97,10.65,47,36,-64.29,-36.62
224,Ossora,-20.25,8.3,88,0,163.07,59.24
225,Kununurra,78.8,4.7,94,40,128.74,-15.77
226,Wenling,40.41,9.42,100,92,121.38,28.38
227,Pocone,92.88,7.96,72,0,-56.62,-16.26
228,Necochea,77.27,18.25,70,0,-58.74,-38.55
229,Taoudenni,63.45,4.38,20,88,-3.98,22.68
230,Solnechnyy,-12.42,6.73,57,44,136.64,50.72
231,Severo-Kurilsk,29.3,15.68,100,80,156.12,50.68
232,Llanes,40.59,1.81,89,88,-4.75,43.42
233,Namatanai,83.3,7.74,100,48,152.44,-3.66
234,Khasan,18.68,15.46,79,0,130.64,42.43
235,Mount Gambier,68.0,6.93,77,80,140.78,-37.83
236,Ferme-Neuve,10.08,12.66,53,24,-75.45,46.7
237,Leshukonskoye,21.87,4.05,76,80,45.76,64.9
238,Bamiantong,-2.39,12.66,46,12,130.53,44.93
239,Tual,78.35,13.56,100,92,132.75,-5.67
240,Omsukchan,-49.46,2.37,0,24,155.8,62.53
241,Ongandjera,86.04,4.61,26,44,15.07,-17.88
242,Batagay,-70.16,2.82,0,0,134.64,67.65
243,Benidorm,48.2,4.7,93,0,-0.13,38.54
244,Arraial do Cabo,92.48,13.87,55,0,-42.02,-22.97
245,Port Lincoln,76.55,6.17,69,80,135.86,-34.72
246,Les Cayes,75.06,6.4,100,80,-73.75,18.19
247,Manicore,84.2,9.17,79,40,-61.3,-5.81
248,Provideniya,22.86,10.54,100,92,-173.23,64.42
249,Lebu,52.56,3.94,50,0,38.73,8.96
250,Novyy Urengoy,6.12,7.52,81,76,76.63,66.08
251,Goderich,25.38,20.71,79,68,-81.71,43.74
252,Comodoro Rivadavia,64.4,9.17,36,40,-67.48,-45.87
253,Koumac,72.68,6.62,94,8,164.28,-20.56
254,El Sauzal,84.2,9.17,58,40,-64.96,-24.3
255,Pryazha,23.0,6.71,92,92,33.62,61.69
256,Aksarka,-1.71,3.15,70,68,67.8,66.56
257,Santiago de Cao,71.6,12.75,83,20,-79.24,-7.96
258,Aklavik,-20.69,6.93,74,20,-135.01,68.22
259,Xuddur,75.33,7.74,49,0,43.89,4.12
260,Sinnamary,80.1,11.21,94,56,-52.96,5.38
261,Ukiah,53.06,18.34,89,90,-123.21,39.15
262,Kudahuvadhoo,80.42,12.33,100,80,72.89,2.67
263,Leh,-5.76,1.7,75,76,77.58,34.16
264,Bonnyville,-0.41,4.61,64,90,-110.74,54.27
265,Poso,75.92,0.25,100,92,120.75,-1.4
266,Chateauneuf-les-Martigues,50.86,10.29,62,90,5.17,43.38
267,Yuryevets,8.28,7.4,86,20,43.11,57.32
268,Constanza,84.2,4.7,58,20,-70.74,18.91
269,Teya,82.4,4.7,45,75,-89.07,21.05
270,Damghan,32.04,1.59,80,36,54.34,36.17
271,Ribeira Brava,59.0,4.7,62,20,-17.07,32.65
272,Ciudad Bolivar,90.23,13.78,48,48,-63.55,8.12
273,Torbay,21.2,10.29,85,90,-52.73,47.66
274,Clyde River,-29.21,13.87,73,75,-68.59,70.47
275,Parkersburg,33.67,6.93,81,90,-81.55,39.27
276,Luderitz,66.6,17.25,63,0,15.16,-26.65
277,North Las Vegas,55.11,6.93,67,20,-115.11,36.2
278,Beaverlodge,6.8,10.29,84,90,-119.43,55.21
279,Nanortalik,27.72,13.56,100,92,-45.24,60.14
280,Mahebourg,82.4,8.05,78,40,57.7,-20.41
281,Mecca,70.11,9.19,66,32,39.83,21.43
282,San Borja,79.11,3.6,84,80,-66.75,-14.86
283,Borujerd,45.68,11.41,87,75,48.76,33.89
284,Caravelas,81.09,10.54,100,76,-39.27,-17.73
285,Tambovka,29.3,8.75,92,76,35.45,46.93
286,Koslan,21.78,4.61,87,80,48.9,63.46
287,Saint-Philippe,29.12,17.22,68,90,-73.48,45.36
288,Tabou,83.52,13.44,99,0,-7.36,4.42
289,Mamallapuram,73.4,13.67,94,0,80.17,12.63
290,Kotido,73.67,4.61,49,20,34.12,3.01
291,Manjeshwar,75.2,5.82,69,0,74.89,12.72
292,Severomuysk,-6.26,1.92,85,68,113.57,56.17
293,Santiago del Estero,87.78,10.92,64,76,-64.26,-27.8
294,Mahibadhoo,81.32,13.11,100,56,72.97,3.78
295,Sorland,27.21,6.93,58,40,12.69,67.67
296,Salinopolis,79.7,5.61,100,64,-47.36,-0.61
297,Odemira,50.9,3.15,99,92,-8.64,37.6
298,Hambantota,77.0,13.87,88,40,81.12,6.12
299,Rawson,67.05,17.13,34,76,-65.11,-43.3
300,Mar del Plata,68.18,11.21,33,24,-67.52,-46.43
301,Adrar,57.2,6.93,24,0,-0.29,27.87
302,Amudat,62.19,4.61,93,36,34.95,1.95
303,Grindavik,22.82,4.7,68,0,-22.43,63.84
304,Alofi,82.4,8.05,88,92,-169.92,-19.06
305,Turbat,62.6,5.17,90,0,63.05,26.0
306,Ambulu,76.68,3.04,100,88,113.61,-8.35
307,Ancud,60.8,9.17,55,0,-73.83,-41.87
308,Vestmannaeyjar,32.0,5.82,100,0,-20.27,63.44
309,Karacabey,32.0,6.93,93,0,28.36,40.21
310,Flinders,71.6,4.7,100,90,150.85,-34.58
311,Tuktoyaktuk,-20.21,16.11,75,20,-133.03,69.44
312,Harper,59.13,8.05,80,90,-99.24,30.3
313,Gat,87.55,10.29,53,0,-16.54,14.69
314,Tigil,-16.83,8.75,49,24,158.67,57.8
315,Moroni,31.59,3.04,91,88,-111.59,39.52
316,Marumori,34.29,9.64,100,0,140.76,37.9
317,Sete,30.65,2.15,69,32,86.44,27.58
318,Mazamari,73.98,2.48,80,56,-74.53,-11.33
319,Souillac,44.6,11.41,93,75,-0.6,45.6
320,Sambava,77.63,4.38,100,88,50.17,-14.27
321,Lakatoro,78.84,6.73,100,36,167.42,-16.11
322,Saint-Leu,79.66,4.7,65,40,55.28,-21.15
323,Sao Filipe,73.22,14.12,93,0,-24.5,14.9
324,Nagato,36.01,10.29,56,75,131.14,34.35
325,Maunabo,80.87,9.17,63,1,-65.9,18.01
326,Katiola,86.0,2.93,42,0,-5.1,8.14
327,Bugiri,66.2,3.38,94,80,33.75,0.57
328,Santa Maria,80.6,9.17,78,75,-53.81,-29.69
